,values,label,color,color_label
inlucounty,-0.0018675268140661404,Falls within county boundaries for land use data (0=outside; 1=within) (inlucounty),2.0,Environmental
popdenmi0,-0.0020021644908573945,Population density per sq mile 1/2 mile (popdenmi0),2.0,Environmental
s1fav,-0.0020538683234385255,1 mile simple FAVORABLE FOOD STORES (s1fav),2.0,Environmental
s1pai,-0.0021127985330199298,1 mile simple TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+INSTRUCTIONAL+WATER (s1pai),2.0,Environmental
k1opai,-0.00213663920210612,1 mile kernel OUTDOOR TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+WATER (k1opai),2.0,Environmental
race_hisp,-0.0021559887975260393,% hispanic (race_hisp),2.0,Environmental
notinlaborforce,-0.0022981281998441586,% not in labor force (notinlaborforce),2.0,Environmental
alc,-0.0023108673099114124,Alcohol drinking in the past 12 months (alc),3.0,Standard
netratio1,-0.0024071365281972223,Network Ratio 1 mile (netratio1),2.0,Environmental
educ_minba,-0.0025039608497428186,% 25+ with minimum bachelor degree (educ_minba),2.0,Environmental
race_blacknh,-0.0025345932905090226,% black non-hispanic (race_blacknh),2.0,Environmental
scpca_uebe,-0.002637839381482035,Age & gender adjusted Unconditional Empirical Bayes Estimate (UEBE) for Social Cohesion PCA-based (scpca_uebe),2.0,Environmental
unemployed,-0.0027592124586845166,% unemployed (unemployed),2.0,Environmental
k3fav,-0.003021204195333498,3 mile kernel FAVORABLE FOOD STORES (k3fav),2.0,Environmental
occupation_employed,-0.0030635379612461754,Employment Status (Employed) (occupation_employed),0.0,Psychosocial
alcw,-0.003137377699677451,Average number of drinks per week (alcw),3.0,Standard
s1walk,-0.003151485791847045,1 mile simple WALKING (s1walk),2.0,Environmental
s0totstr,-0.00334112475219549,1/2 mile simple TOTAL STORES (s0totstr),2.0,Environmental
s3opai,-0.0034315945249369837,3 mile simple OUTDOOR TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+WATER (s3opai),2.0,Environmental
intcnt0,-0.003452138862657877,Number of intersections in 1/2 mile buffer (intcnt0),2.0,Environmental
s1totfood,-0.003487990079754782,1 mile simple TOTAL FOOD STORES (s1totfood),2.0,Environmental
k3ipai,-0.0036071130770010985,3 mile kernel INDOOR TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL (k3ipai),2.0,Environmental
k1pai,-0.0042717630313576305,1 mile kernel TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+INSTRUCTIONAL+WATER (k1pai),2.0,Environmental
k3mrfei_noalc,-0.004361858138644473,3 mile kernel MODIFIED RETAIL FOOD ENVIRONMENT INDEX EXCLUDE ALCOHOL (k3mrfei_noalc),2.0,Environmental
k0fav,-0.004563835370302756,1/2 mile kernel FAVORABLE FOOD STORES (k0fav),2.0,Environmental
hucost_medownval,-0.005084705293604216,Median owner Household cost (hucost_medownval),2.0,Environmental
s3mrfei_noalc,-0.005096699682701113,3 mile simple MODIFIED RETAIL FOOD ENVIRONMENT INDEX EXCLUDE ALCOHOL (s3mrfei_noalc),2.0,Environmental
race_whitenh,-0.005201358277519399,% white non-hispanic (race_whitenh),2.0,Environmental
s0mrfei_tot,-0.005436841210818061,1/2 mile simple MODIFIED RETAIL FOOD ENVIRONMENT INDEX INCLUDE ALCOHOL (s0mrfei_tot),2.0,Environmental
k0mrfei_tot,-0.005903070928658488,1/2 mile kernel MODIFIED RETAIL FOOD ENVIRONMENT INDEX INCLUDE ALCOHOL (k0mrfei_tot),2.0,Environmental
k1fav,-0.005936697771904348,1 mile kernel FAVORABLE FOOD STORES (k1fav),2.0,Environmental
s1unfav,-0.006229682612316192,1 mile simple UNFAVORABLE FOOD STORES (s1unfav),2.0,Environmental
s0soc,-0.006400034192236544,1/2 mile simple SOCIAL ENGAGEMENT (s0soc),2.0,Environmental
k3mrfei_tot,-0.007172713014996191,3 mile kernel MODIFIED RETAIL FOOD ENVIRONMENT INDEX INCLUDE ALCOHOL (k3mrfei_tot),2.0,Environmental
race_asiannh,-0.007658347834136122,% asian non-hispanic (race_asiannh),2.0,Environmental
s3mrfei_tot,-0.00840189932232956,3 mile simple MODIFIED RETAIL FOOD ENVIRONMENT INDEX INCLUDE ALCOHOL (s3mrfei_tot),2.0,Environmental
pret1,-0.008457592838490166,Percent Retail 1 mile (pret1),2.0,Environmental
occupation_not_employed,-0.01264390723899375,Employment Status (Not Employed) (occupation_not_employed),0.0,Psychosocial
fmlyinc,-0.01577506306833703,Family income (fmlyinc),0.0,Psychosocial
privatepublicins_0.0,-0.025821705031787556,Insurance status - Uninsured (privatepublicins_0.0),0.0,Psychosocial
insured,-0.027554328149912453,Insured (insured),0.0,Psychosocial
s0opai,-0.06260469496079124,1/2 mile simple OUTDOOR TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+WATER (s0opai),2.0,Environmental
